teamA;teamB;goalsA;goalsB;region
Norwegen;Lettland;0;0;Europe
Türkei;Gibraltar;6;0;Europe
Montenegro;Niederlande;2;2;Europe
Gibraltar;Lettland;1;3;Europe
Montenegro;Türkei;1;2;Europe
Niederlande;Norwegen;2;0;Europe
Malta;Russland;1;3;Europe
Slowenien;Kroatien;1;0;Europe
Zypern;Slowakei;0;0;Europe
Russland;Slowenien;2;1;Europe
Kroatien;Zypern;1;0;Europe
Slowakei;Malta;2;2;Europe
Zypern;Slowenien;1;0;Europe
Kroatien;Malta;3;0;Europe
Slowakei;Russland;2;1;Europe
Malta;Zypern;3;0;Europe
Russland;Kroatien;0;0;Europe
Slowenien;Slowakei;1;1;Europe
Slowenien;Malta;1;0;Europe
Zypern;Russland;0;2;Europe
Slowakei;Kroatien;0;1;Europe
Kroatien;Slowenien;3;0;Europe
Russland;Malta;2;0;Europe
Slowakei;Zypern;2;0;Europe
Malta;Slowenien;0;4;Europe
Russland;Slowakei;1;0;Europe
Zypern;Kroatien;0;3;Europe
Zypern;Malta;2;2;Europe
Kroatien;Slowakei;2;2;Europe
Slowenien;Russland;1;2;Europe
Russland;Zypern;6;0;Europe
Malta;Kroatien;1;7;Europe
Slowakei;Slowenien;2;2;Europe
Kroatien;Russland;1;0;Europe
Malta;Slowakei;0;6;Europe
Slowenien;Zypern;2;1;Europe
Andorra;Albanien;0;1;Europe
England;San Marino;5;0;Europe
Ungarn;Polen;3;3;Europe
Albanien;England;0;2;Europe
Polen;Andorra;3;0;Europe
San Marino;Ungarn;0;3;Europe
Andorra;Ungarn;1;4;Europe
England;Polen;2;1;Europe
San Marino;Albanien;0;2;Europe
Andorra;San Marino;2;0;Europe
Polen;Albanien;4;1;Europe
Ungarn;England;0;4;Europe
Albanien;Ungarn;1;0;Europe
England;Andorra;4;0;Europe
San Marino;Polen;1;7;Europe
Albanien;San Marino;5;0;Europe
Polen;England;1;1;Europe
Ungarn;Andorra;2;1;Europe
Andorra;England;0;5;Europe
Polen;San Marino;5;0;Europe
Ungarn;Albanien;0;1;Europe
Albanien;Polen;0;1;Europe
England;Ungarn;1;1;Europe
San Marino;Andorra;0;3;Europe
Andorra;Polen;1;4;Europe
England;Albanien;5;0;Europe
Ungarn;San Marino;4;0;Europe
Albanien;Andorra;1;0;Europe
Polen;Ungarn;1;2;Europe
San Marino;England;0;10;Europe
Deutschland;Island;3;0;Europe
Liechtenstein;Armenien;0;1;Europe
Rumänien;Nordmazedonien;3;2;Europe
Armenien;Island;2;0;Europe
Nordmazedonien;Liechtenstein;5;0;Europe
Rumänien;Deutschland;0;1;Europe
Armenien;Rumänien;3;2;Europe
Deutschland;Nordmazedonien;1;2;Europe
Liechtenstein;Island;1;4;Europe
Island;Rumänien;0;2;Europe
Liechtenstein;Deutschland;0;2;Europe
Nordmazedonien;Armenien;0;0;Europe
Island;Nordmazedonien;2;2;Europe
Deutschland;Armenien;6;0;Europe
Rumänien;Liechtenstein;2;0;Europe
Armenien;Liechtenstein;1;1;Europe
Island;Deutschland;0;4;Europe
Nordmazedonien;Rumänien;0;0;Europe
Deutschland;Rumänien;2;1;Europe
Island;Armenien;1;1;Europe
Liechtenstein;Nordmazedonien;0;4;Europe
Island;Liechtenstein;4;0;Europe
Nordmazedonien;Deutschland;0;4;Europe
Rumänien;Armenien;1;0;Europe
Armenien;Nordmazedonien;0;5;Europe
Deutschland;Liechtenstein;9;0;Europe
Rumänien;Island;0;0;Europe
